,Prob-level,harm-level,personal,ID,Date,cityName,countryCode,countryName,ipAddress,latitude,longitude,regionName,timeZone,zipCode
76,A somewhat serious problem,Not for many years,Not at all concerned,17429,2016-03-22 16:13:05,Manteca,US,United States,96.236.77.163,37.7974,-121.21600000000001,California,-07:00,95336
77,A somewhat serious problem,In the next few years,Somewhat concerned,17428,2016-03-22 16:07:03,Malmoe,SE,Sweden,109.124.181.27,55.6059,13.0007,Skane Lan,+02:00,21844
78,A somewhat serious problem,Not for many years,Somewhat concerned,17427,2016-03-22 15:11:03,Trenton,US,United States,67.218.170.222,34.8708,-85.5099,Georgia,-04:00,30752
79,A very serious problem,In the next few years,Somewhat concerned,17426,2016-03-22 14:45:26,Fort Huachuca,US,United States,141.107.159.23,31.5565,-110.351,Arizona,-07:00,85613
80,A very serious problem,Now,Very concerned,17425,2016-03-22 14:35:08,New York City,US,United States,24.39.0.254,40.7143,-74.006,New York,-04:00,10116
81,A very serious problem,In the next few years,Somewhat concerned,17424,2016-03-22 14:17:22,Columbia,US,United States,64.53.4.122,33.9965,-81.0302,South Carolina,-04:00,29201
82,A very serious problem,Now,Not too concerned,17423,2016-03-22 13:59:28,Seattle,US,United States,128.208.27.120,47.6639,-122.292,Washington,-07:00,98105
83,A somewhat serious problem,Not for many years,Somewhat concerned,17422,2016-03-22 13:19:17,Pearl City,US,United States,66.87.146.195,21.3972,-157.97299999999998,Hawaii,-10:00,96782
84,A somewhat serious problem,Not for many years,Not at all concerned,17421,2016-03-22 13:05:51,Mount Laurel,US,United States,96.83.144.214,39.9478,-74.9117,New Jersey,-04:00,08054
85,A not too serious problem,Not for many years,Not too concerned,17420,2016-03-22 12:58:39,Boerne,US,United States,96.8.131.21,29.7947,-98.73200000000001,Texas,-05:00,78006
86,A very serious problem,Now,Very concerned,17419,2016-03-22 12:48:50,Dallas,US,United States,74.213.29.226,32.9455,-96.7962,Texas,-05:00,75254
87,A not too serious problem,Not for many years,Not too concerned,17418,2016-03-22 11:53:09,Elgin,US,United States,50.158.55.251,42.0373,-88.2812,Illinois,-05:00,60120
88,A very serious problem,Now,Very concerned,17417,2016-03-22 11:45:47,Irvine,US,United States,209.243.128.191,33.7049,-117.706,California,-07:00,92618
89,A very serious problem,Now,Very concerned,17416,2016-03-22 11:10:46,Poway,US,United States,108.221.222.55,32.9628,-117.036,California,-07:00,92064
91,A very serious problem,Now,Very concerned,15960,2016-02-29 14:32:21,Poway,US,United States,108.221.222.55,32.9628,-117.036,California,-07:00,92064
93,A very serious problem,Now,Somewhat concerned,17415,2016-03-22 11:01:31,Hicksville,US,United States,108.58.207.130,40.7641,-73.51899999999999,New York,-04:00,11801
94,Not a problem,Never,Not at all concerned,17414,2016-03-22 10:27:20,Fort Myers,US,United States,66.86.7.9,26.6217,-81.8406,Florida,-04:00,33900
95,A somewhat serious problem,Never,Not at all concerned,17413,2016-03-22 10:07:08,Ypsilanti,US,United States,69.245.82.216,42.2411,-83.613,Michigan,-04:00,48197
96,A somewhat serious problem,In the next few years,Somewhat concerned,17412,2016-03-22 10:01:40,Ottawa,CA,Canada,65.93.70.41,45.4112,-75.6981,Ontario,-04:00,K1A 0A1
98,A very serious problem,Now,Somewhat concerned,17411,2016-03-22 09:59:12,Ottawa,CA,Canada,65.93.70.41,45.4112,-75.6981,Ontario,-04:00,K1A 0A1
100,A very serious problem,In the next few years,Very concerned,17410,2016-03-22 09:25:20,Bradenton,US,United States,73.205.45.199,27.4989,-82.5748,Florida,-04:00,34201
101,A not too serious problem,Never,Not at all concerned,17409,2016-03-22 09:16:51,Fort Myers,US,United States,67.238.11.100,26.6217,-81.8406,Florida,-04:00,33900
102,A somewhat serious problem,Not for many years,Not at all concerned,17408,2016-03-22 09:04:21,Summerfield,US,United States,24.75.153.38,29.0083,-82.035,Florida,-04:00,34491
103,Not a problem,Not for many years,Not at all concerned,17407,2016-03-22 08:46:55,Pooler,US,United States,69.245.64.22,32.1155,-81.2471,Georgia,-04:00,31322
104,A very serious problem,Now,Somewhat concerned,17406,2016-03-22 08:26:18,Long Beach,US,United States,174.76.156.168,30.3505,-89.1528,Mississippi,-05:00,39560
105,Not a problem,Not for many years,Not at all concerned,17405,2016-03-22 07:54:50,Drummonds,US,United States,69.195.24.75,35.4674,-89.9563,Tennessee,-05:00,38023
106,A very serious problem,Now,Very concerned,17404,2016-03-22 07:28:09,Dover,US,United States,108.52.0.21,39.1582,-75.5244,Delaware,-04:00,19901
107,A very serious problem,Now,Very concerned,17403,2016-03-22 05:56:15,Sevilla,ES,Spain,85.136.227.92,37.3824,-5.97613,Andalucia,+02:00,41005
108,A somewhat serious problem,Not for many years,Not too concerned,17402,2016-03-22 05:01:04,Boise,US,United States,96.19.44.182,43.6135,-116.20299999999999,Idaho,-06:00,83601
109,Not a problem,Not for many years,Not at all concerned,17401,2016-03-22 04:35:08,Marseilles,US,United States,198.29.191.200,41.3309,-88.7081,Illinois,-05:00,61341
110,A very serious problem,Now,Very concerned,17400,2016-03-22 03:20:03,Abu Dhabi,AE,United Arab Emirates,2.50.169.160,24.4667,54.3667,Abu Dhabi,+04:00,-
111,A very serious problem,Now,Very concerned,17399,2016-03-22 03:09:11,Silverdale,US,United States,71.50.4.217,47.6445,-122.695,Washington,-07:00,98315
112,A not too serious problem,Not for many years,Not too concerned,17398,2016-03-22 02:22:44,Machida,JP,Japan,14.3.182.167,35.5487,139.447,Tokyo,+09:00,194-021
113,A not too serious problem,Not for many years,Not too concerned,17397,2016-03-22 01:55:53,Springboro,US,United States,65.185.181.205,39.5523,-84.2333,Ohio,-04:00,45066
114,A very serious problem,Now,Very concerned,17396,2016-03-22 01:45:18,Irvine,US,United States,174.67.248.213,33.6695,-117.823,California,-07:00,92602
115,A somewhat serious problem,Now,Not too concerned,17395,2016-03-22 01:37:31,San Rafael,US,United States,50.131.157.202,37.9735,-122.531,California,-07:00,94901
116,A very serious problem,Now,Very concerned,17394,2016-03-22 01:12:43,Philadelphia,US,United States,172.56.2.59,39.9523,-75.1638,Pennsylvania,-04:00,19019
117,A somewhat serious problem,Not for many years,Somewhat concerned,17393,2016-03-22 00:47:23,Philadelphia,US,United States,68.80.121.36,39.9523,-75.1638,Pennsylvania,-04:00,19019
118,A very serious problem,Now,Very concerned,17392,2016-03-21 23:08:51,New York City,US,United States,68.196.182.247,40.7143,-74.006,New York,-04:00,10116
119,A very serious problem,Now,Very concerned,17391,2016-03-21 23:06:08,Willow Grove,US,United States,208.54.37.161,40.144,-75.1157,Pennsylvania,-04:00,19090
120,A very serious problem,Now,Somewhat concerned,17390,2016-03-21 22:25:52,Raleigh,US,United States,174.110.123.89,35.7721,-78.6386,North Carolina,-04:00,27601
121,A very serious problem,Now,Somewhat concerned,17389,2016-03-21 21:52:45,Groton,US,United States,66.189.44.216,42.6112,-71.5745,Massachusetts,-04:00,01450
122,A very serious problem,Now,Somewhat concerned,17388,2016-03-21 20:54:18,Richardson,US,United States,71.170.94.118,32.9482,-96.7297,Texas,-05:00,75080
123,A very serious problem,Now,Somewhat concerned,17387,2016-03-21 20:47:59,Pearl City,US,United States,72.234.48.3,21.3972,-157.97299999999998,Hawaii,-10:00,96782
125,A very serious problem,In the next few years,Somewhat concerned,10033,2016-01-06 16:56:12,Pearl City,US,United States,72.234.48.3,21.3972,-157.97299999999998,Hawaii,-10:00,96782
127,Not a problem,Never,Not at all concerned,17386,2016-03-21 20:45:25,Belleville,CA,Canada,104.129.105.125,44.1668,-77.3828,Ontario,-04:00,K8N 0A1
128,A somewhat serious problem,Not for many years,Not too concerned,17385,2016-03-21 19:49:21,Fort Huachuca,US,United States,144.147.79.23,31.5565,-110.351,Arizona,-07:00,85613
129,A very serious problem,Now,Very concerned,17384,2016-03-21 19:26:59,Falls Church,US,United States,70.208.131.246,38.8823,-77.1711,Virginia,-04:00,22040
130,A very serious problem,Now,Somewhat concerned,17383,2016-03-21 18:49:54,Cape Town,ZA,South Africa,196.11.235.231,-33.9258,18.4232,Western Cape,+02:00,7535
131,A somewhat serious problem,Not for many years,Not too concerned,17382,2016-03-21 18:36:59,Harrisburg,US,United States,174.60.176.142,40.2737,-76.8844,Pennsylvania,-04:00,17101
132,A very serious problem,Now,Very concerned,17381,2016-03-21 18:22:32,Elmhurst,US,United States,50.179.134.146,41.8995,-87.9403,Illinois,-05:00,60126
133,A very serious problem,Now,Very concerned,17380,2016-03-21 17:56:56,Plainfield,US,United States,75.30.85.222,39.7042,-86.3994,Indiana,-04:00,46168
135,A very serious problem,Now,Somewhat concerned,1384,2015-12-10 17:08:28,Plainfield,US,United States,75.30.85.222,39.7042,-86.3994,Indiana,-04:00,46168
137,A somewhat serious problem,In the next few years,Somewhat concerned,17379,2016-03-21 17:56:11,Zanesville,US,United States,24.145.148.162,39.9403,-82.0132,Ohio,-04:00,43701
138,A very serious problem,Now,Very concerned,17378,2016-03-21 17:52:36,Maryland Heights,US,United States,76.191.17.65,38.7131,-90.4298,Missouri,-05:00,63043
139,A very serious problem,In the next few years,Somewhat concerned,17377,2016-03-21 17:49:42,Williamsburg,US,United States,70.186.195.49,37.2707,-76.7075,Virginia,-04:00,23081
140,A very serious problem,Now,Not too concerned,17376,2016-03-21 17:47:06,Augsburg-Lechviertel,DE,Germany,89.15.63.195,48.3647,10.9011,Bayern,+02:00,86153
141,A not too serious problem,Not for many years,Not too concerned,17375,2016-03-21 17:45:54,Fort Myers,US,United States,50.153.13.255,26.6217,-81.8406,Florida,-04:00,33900
142,A very serious problem,Now,Somewhat concerned,17374,2016-03-21 17:44:15,Toronto,CA,Canada,99.232.74.79,43.6708,-79.3793,Ontario,-04:00,M4Y 2Y5
143,A somewhat serious problem,Now,Somewhat concerned,17373,2016-03-21 17:21:34,New Albany,US,United States,149.160.199.105,38.3077,-85.8288,Indiana,-04:00,47150
144,A very serious problem,Now,Very concerned,17372,2016-03-21 17:20:56,Duluth,US,United States,184.63.115.92,46.7833,-92.1066,Minnesota,-05:00,55701
145,A very serious problem,Now,Very concerned,17371,2016-03-21 17:18:07,Saint Clair Shores,US,United States,173.14.60.157,42.497,-82.8888,Michigan,-04:00,48080
146,A very serious problem,In the next few years,Somewhat concerned,17370,2016-03-21 17:13:28,San Jose,US,United States,66.87.119.196,37.3394,-121.895,California,-07:00,95101
147,A very serious problem,In the next few years,Very concerned,17369,2016-03-21 16:45:59,Englewood,US,United States,75.70.187.153,39.6478,-104.988,Colorado,-06:00,80110
148,A very serious problem,Now,Very concerned,17368,2016-03-21 16:14:07,Albany,US,United States,169.226.70.37,42.693000000000005,-73.8376,New York,-04:00,12222
149,A very serious problem,Not for many years,Somewhat concerned,17367,2016-03-21 16:03:35,Colonial Heights,US,United States,73.147.216.252,37.268,-77.4073,Virginia,-04:00,23834
150,Not a problem,Never,Not at all concerned,17366,2016-03-21 15:58:36,Columbia,US,United States,167.171.41.87,34.0894,-80.9229,South Carolina,-04:00,29223
151,A very serious problem,Now,Not too concerned,17365,2016-03-21 15:46:16,Kansas City,US,United States,159.140.254.105,39.1142,-94.6275,Kansas,-05:00,66101
152,A very serious problem,Now,Not too concerned,17364,2016-03-21 15:42:36,Ypsilanti,US,United States,99.108.212.92,42.2411,-83.613,Michigan,-04:00,48197
153,A very serious problem,Now,Very concerned,17363,2016-03-21 15:33:22,Smithtown,US,United States,24.188.214.90,40.8559,-73.2007,New York,-04:00,11780
154,A somewhat serious problem,Not for many years,Not too concerned,17362,2016-03-21 15:31:25,Bartonville,US,United States,70.194.68.221,40.6503,-89.652,Illinois,-05:00,61607
155,A very serious problem,In the next few years,Very concerned,17361,2016-03-21 15:28:00,Attenborough,GB,United Kingdom,82.31.228.144,52.9063,-1.2316200000000002,England,+01:00,NG9 6AL
156,A very serious problem,Now,Somewhat concerned,17360,2016-03-21 15:27:17,San Clemente,US,United States,68.96.71.35,33.427,-117.61200000000001,California,-07:00,92672
157,A very serious problem,Now,Somewhat concerned,17359,2016-03-21 15:13:29,Raleigh,US,United States,198.85.228.129,35.7721,-78.6386,North Carolina,-04:00,27601
158,A somewhat serious problem,Now,Not too concerned,17358,2016-03-21 15:04:48,San Diego,US,United States,70.166.89.157,32.7153,-117.15700000000001,California,-07:00,92101
159,A somewhat serious problem,Now,Somewhat concerned,17357,2016-03-21 14:45:02,Englewood,US,United States,76.25.74.141,39.6478,-104.988,Colorado,-06:00,80110
160,A not too serious problem,Not for many years,Not at all concerned,17356,2016-03-21 14:28:11,Columbia,US,United States,198.17.19.225,39.2144,-76.8797,Maryland,-04:00,21044
161,A somewhat serious problem,Not for many years,Not too concerned,17355,2016-03-21 14:10:17,Frankfort,US,United States,170.185.30.17,38.2006,-84.947,Kentucky,-04:00,40601
162,A not too serious problem,Never,Not at all concerned,17354,2016-03-21 13:20:37,Irving,US,United States,71.40.112.93,32.814,-96.9489,Texas,-05:00,75014
163,A very serious problem,Not for many years,Not too concerned,17353,2016-03-21 13:10:22,Southborough,US,United States,173.48.148.84,42.3056,-71.5245,Massachusetts,-04:00,01745
164,A very serious problem,In the next few years,Very concerned,17352,2016-03-21 13:07:15,Searcy,US,United States,104.55.53.149,35.2506,-91.7363,Arkansas,-05:00,72143
165,A somewhat serious problem,Not for many years,Not at all concerned,17351,2016-03-21 13:00:38,North Port,US,United States,73.27.43.127,27.0442,-82.2359,Florida,-04:00,34286
166,A not too serious problem,Not for many years,Not at all concerned,17350,2016-03-21 12:37:59,Lake Havasu City,US,United States,173.84.0.130,34.4839,-114.322,Arizona,-07:00,86403
167,Not a problem,Never,Not at all concerned,17349,2016-03-21 12:35:00,Cape Town,ZA,South Africa,45.197.36.210,-33.9258,18.4232,Western Cape,+02:00,8160
168,A not too serious problem,Not for many years,Not too concerned,17348,2016-03-21 12:29:30,Terry,US,United States,108.59.121.199,46.7931,-105.31200000000001,Montana,-06:00,59349
169,A very serious problem,Now,Very concerned,17347,2016-03-21 12:06:22,Sarasota,US,United States,73.27.171.18,27.3364,-82.5306,Florida,-04:00,34230
170,A very serious problem,Now,Not too concerned,17346,2016-03-21 11:10:40,Ottawa,CA,Canada,99.224.77.152,45.4112,-75.6981,Ontario,-04:00,K1A 0A1
171,A very serious problem,Now,Somewhat concerned,17345,2016-03-21 10:49:58,Murfreesboro,US,United States,98.240.76.194,35.8456,-86.3903,Tennessee,-05:00,37127
173,A very serious problem,Now,Very concerned,17343,2016-03-21 09:35:03,Navan,IE,Ireland,89.100.34.244,53.6528,-6.6813899999999995,Meath,+01:00,D17
174,A not too serious problem,Not for many years,Not too concerned,17342,2016-03-21 09:25:47,Aurora,US,United States,75.70.97.28,39.7294,-104.83200000000001,Colorado,-06:00,80010
175,A not too serious problem,Not for many years,Not too concerned,17341,2016-03-21 08:56:20,Ridgway,US,United States,50.44.235.234,37.7981,-88.2606,Illinois,-05:00,62979
176,A somewhat serious problem,Now,Somewhat concerned,17340,2016-03-21 08:46:55,Charlotte,US,United States,108.217.45.148,35.2271,-80.8431,North Carolina,-04:00,28201
177,A very serious problem,Now,Very concerned,17339,2016-03-21 08:38:44,Bainbridge,US,United States,69.128.27.212,39.7608,-86.8154,Indiana,-04:00,46105
178,A not too serious problem,Not for many years,Not too concerned,17338,2016-03-21 08:18:25,Aldine,US,United States,172.56.14.22,29.9324,-95.3802,Texas,-06:00,77039
179,A somewhat serious problem,Not for many years,Not too concerned,17337,2016-03-21 07:45:24,Richardson,US,United States,108.19.205.93,32.9482,-96.7297,Texas,-05:00,75080
180,A very serious problem,In the next few years,Somewhat concerned,17336,2016-03-21 05:54:08,Leona Valley,US,United States,172.112.144.66,34.6183,-118.288,California,-07:00,93532
181,A very serious problem,Now,Very concerned,17335,2016-03-21 04:55:03,Erlangen,DE,Germany,131.188.127.62,49.5956,10.995,Bayern,+02:00,91058
182,A very serious problem,Now,Not too concerned,17334,2016-03-21 04:26:02,Piscataway,US,United States,107.191.32.196,40.5397,-74.4664,New Jersey,-04:00,08854
183,A somewhat serious problem,Now,Not too concerned,17333,2016-03-21 04:03:05,Coquitlam,CA,Canada,96.48.42.171,49.283,-122.75299999999999,British Columbia,-07:00,V3B 0A2
184,A very serious problem,Now,Somewhat concerned,17332,2016-03-21 03:21:47,New York City,US,United States,68.132.240.154,40.7143,-74.006,New York,-04:00,10116
185,A not too serious problem,Not for many years,Somewhat concerned,17331,2016-03-21 02:39:09,Valyermo,US,United States,173.58.55.90,34.4461,-117.852,California,-07:00,93563
186,A very serious problem,Now,Very concerned,17330,2016-03-21 01:53:49,Boise,US,United States,71.220.138.93,43.6135,-116.20299999999999,Idaho,-06:00,83601
187,A very serious problem,Not for many years,Somewhat concerned,17329,2016-03-21 01:51:25,Panaji,IN,India,14.139.114.178,15.4833,73.8333,Goa,+05:30,403004
188,A very serious problem,Now,Very concerned,17328,2016-03-21 01:34:46,Rancho Cucamonga,US,United States,108.185.44.35,34.1064,-117.59299999999999,California,-07:00,91701
